interaction,ligand,receptor,ligand_means,ligand_props,receptor_means,receptor_props,morans,morans_pvals,mean,std
APOE^LSR,APOE,LSR,0.8531935,0.6709666666666667,0.34325284,0.3962333333333333,0.011818181,0.0,0.023638844,0.60014796
ARPC5^LDLR,ARPC5,LDLR,0.059646547,0.08771666666666667,0.37404573,0.39968333333333333,0.011546362,0.0,0.023173077,0.46377546
PDGFB^LRP1,PDGFB,LRP1,0.042184908,0.05461666666666667,0.30070972,0.34318333333333334,0.011524176,0.0,0.022879472,0.44932553
AFDN^EPHB3,AFDN,EPHB3,0.33604774,0.3909666666666667,0.15658742,0.20776666666666666,0.011510184,0.0,0.023021266,0.3832667
EFNB1^EPHB3,EFNB1,EPHB3,0.14746608,0.19625,0.15658742,0.20776666666666666,0.011397272,0.0,0.022796776,0.40783423
GSTP1^EGFR,GSTP1,EGFR,1.0458322,0.7696,0.10819267,0.14703333333333332,0.011197607,0.0,0.022495596,0.45775595
LYPD3^AGR2,LYPD3,AGR2,0.06215212,0.08473333333333333,0.1115472,0.14855,0.010730368,0.0,0.021634392,0.5319901
LAMB2^CD44,LAMB2,CD44,0.3288669,0.38058333333333333,0.07574416,0.09123333333333333,0.010468564,0.0,0.02119689,0.44605663
LAMA3^DAG1,LAMA3,DAG1,0.078100145,0.1094,0.28329813,0.34446666666666664,0.010447922,0.0,0.020948457,0.40677956
COL9A2^SDC1,COL9A2,SDC1,0.26586846,0.3179166666666667,0.072289936,0.10475,0.010426635,0.0,0.0209107,0.4194337
AFDN^EPHB2,AFDN,EPHB2,0.33604774,0.3909666666666667,0.07523986,0.10683333333333334,0.010410653,0.0,0.021057183,0.36723602
APP^LRP10,APP,LRP10,0.79693526,0.6800833333333334,0.21355008,0.2718333333333333,0.010276864,0.0,0.020549726,0.42155948
NCAM1^PTPRA,NCAM1,PTPRA,0.21298583,0.2693333333333333,0.12446099,0.17055,0.010189394,0.0,0.020428967,0.39483538
PSEN1^NOTCH2,PSEN1,NOTCH2,0.24068008,0.30243333333333333,0.17976236,0.23445,0.010117485,0.0,0.020233555,0.38299888
FGFR3^EPHA4,FGFR3,EPHA4,0.08639095,0.12286666666666667,0.03981055,0.05868333333333333,0.010100255,0.0,0.020484788,0.3983707
SEMA5B^PLXNA3,SEMA5B,PLXNA3,0.19122282,0.23825,0.0883209,0.12335,0.009892548,0.0,0.019879792,0.4627281
MFGE8^ITGAV,MFGE8,ITGAV,0.50677764,0.5184833333333333,0.04399407,0.0641,0.009805634,0.0,0.01989372,0.40954438
SEMA4C^PLXNB2,SEMA4C,PLXNB2,0.46049806,0.4918666666666667,0.34820747,0.39521666666666666,0.009796178,0.0,0.019586677,0.4279649
CDH1^CDH2,CDH1,CDH2,0.20450613,0.26721666666666666,0.12966482,0.17138333333333333,0.009674276,0.0,0.019358996,0.42037624
CALR^ITGAV,CALR,ITGAV,0.8438847,0.69875,0.04399407,0.0641,0.009383025,0.0,0.019320125,0.40141705
AGRN^LRP4,AGRN,LRP4,0.7036076,0.6390333333333333,0.06388529,0.08736666666666666,0.009377086,0.0,0.01915966,0.40063053
ANXA1^EGFR,ANXA1,EGFR,0.2377601,0.28195,0.10819267,0.14703333333333332,0.009280451,0.0,0.018568708,0.4580209
CGN^TGFBR1,CGN,TGFBR1,0.30963147,0.3667166666666667,0.080925085,0.11565,0.0090591675,0.0,0.018190952,0.3712158
LGALS3BP^ITGB1,LGALS3BP,ITGB1,0.79348797,0.6700166666666667,0.17783748,0.22815,0.008982819,0.0,0.017962579,0.4606144
COL18A1^ITGB5,COL18A1,ITGB5,1.1007198,0.7915166666666666,0.0461282,0.06678333333333333,0.008977147,0.0,0.018535983,0.4270159
EFNB1^EPHB4,EFNB1,EPHB4,0.14746608,0.19625,0.24897747,0.3086333333333333,0.008968926,0.0,0.017941661,0.37754256
RGMA^BMPR1B,RGMA,BMPR1B,0.06747693,0.09696666666666667,0.12273839,0.16696666666666668,0.008712668,0.0,0.01751137,0.39677125
AGRN^DAG1,AGRN,DAG1,0.7036076,0.6390333333333333,0.28329813,0.34446666666666664,0.008583072,0.0,0.017156776,0.42604458
APP^GPC1,APP,GPC1,0.79693526,0.6800833333333334,0.18997273,0.24468333333333334,0.008540877,0.0,0.017080793,0.42861155
EFNB3^EPHB6,EFNB3,EPHB6,0.052919246,0.07795,0.28175825,0.3389666666666667,0.008479917,0.0,0.01717564,0.39459848
WNT7A^FZD10_LRP6,WNT7A,FZD10_LRP6,0.05768167,0.08286666666666667,0.058011267,0.09568333333333333,0.008260217,0.0,0.016779395,0.4269752
S100A1^RYR1,S100A1,RYR1,0.2482628,0.30555,0.10219326,0.14363333333333334,0.007983381,0.0,0.015971432,0.4480638
CALM1^GRM4,CALM1,GRM4,0.09040737,0.1298,0.03958083,0.05415,0.0078770695,0.0,0.015834358,0.52472454
PSAP^CELSR1,PSAP,CELSR1,0.99639356,0.75465,0.37372813,0.4222,0.007851677,0.0,0.015700884,0.51031387
CKLF^LRP6,CKLF,LRP6,0.08669441,0.12141666666666667,0.5923134,0.5776166666666667,0.007842876,0.0,0.015883625,0.41649154
WNT7A^FZD5_LRP5,WNT7A,FZD5_LRP5,0.05768167,0.08286666666666667,0.033436805,0.06385,0.007837899,0.0,0.015869211,0.39677426
NECTIN3^NECTIN1,NECTIN3,NECTIN1,0.07052969,0.09936666666666667,0.06563307,0.09476666666666667,0.007790113,0.0,0.015668526,0.37472552
ADAM9^ITGB1,ADAM9,ITGB1,0.05002486,0.06886666666666667,0.17783748,0.22815,0.007783112,0.0,0.015624027,0.38067898
LRPAP1^LRP8,LRPAP1,LRP8,0.5339284,0.53845,0.097259626,0.13536666666666666,0.007773412,0.0,0.015659006,0.3950983
CD99^CD99L2,CD99,CD99L2,0.17824352,0.23028333333333334,0.13984844,0.18776666666666667,0.0077617522,0.0,0.015538842,0.3673702
C3^LRP1,C3,LRP1,0.16144842,0.18345,0.30070972,0.34318333333333334,0.0077406233,0.0,0.015491422,0.5651395
EFNA4^EPHA1,EFNA4,EPHA1,0.051051542,0.07416666666666667,0.25148553,0.30473333333333336,0.0076778457,0.0,0.015793113,0.4342596
MDK^NCL,MDK,NCL,1.817091,0.9025166666666666,0.03472415,0.0508,0.007524569,0.0,0.016403498,0.5211764
LMAN1^MCFD2,LMAN1,MCFD2,0.41518798,0.4585,0.14057718,0.19006666666666666,0.007412579,0.0,0.014828566,0.37219557
WNT9A^FZD5_LRP6,WNT9A,FZD5_LRP6,0.03542145,0.05321666666666667,0.09441903,0.1522,0.0072718854,0.0,0.01503234,0.38743484
LAMA1^DAG1,LAMA1,DAG1,0.087166004,0.1176,0.28329813,0.34446666666666664,0.0071589234,0.0,0.01431702,0.39905107
LAMA3^CD44,LAMA3,CD44,0.078100145,0.1094,0.07574416,0.09123333333333333,0.0071443636,0.0,0.014455516,0.45977396
ADAM15^ITGB1,ADAM15,ITGB1,0.1608393,0.21365,0.17783748,0.22815,0.0071196416,0.0,0.014235997,0.3893798
CTHRC1^FZD6,CTHRC1,FZD6,0.12843047,0.16871666666666665,0.08956837,0.1276,0.007066438,0.0,0.014157248,0.39955825
CLEC11A^ITGB1,CLEC11A,ITGB1,0.11356085,0.14618333333333333,0.17783748,0.22815,0.0070252693,0.0,0.014067849,0.4251317
TNFSF13^TNFRSF14,TNFSF13,TNFRSF14,0.13263714,0.17958333333333334,0.062033042,0.08288333333333334,0.006916539,0.0,0.013968431,0.37041885
CCN1^ITGAV,CCN1,ITGAV,0.477936,0.41501666666666664,0.04399407,0.0641,0.00689448,0.0,0.01355473,0.8173358
RTN4^LINGO1,RTN4,LINGO1,0.22277068,0.2824333333333333,0.2274859,0.2841166666666667,0.0068885456,0.0,0.013780104,0.42526507
ITGB3BP^ITGB5,ITGB3BP,ITGB5,0.092964776,0.13111666666666666,0.0461282,0.06678333333333333,0.006839098,0.0,0.014098582,0.38666835
BMP8B^ACVR1_BMPR2,BMP8B,ACVR1_BMPR2,0.038029194,0.055433333333333334,0.047276508,0.08603333333333334,0.006818278,0.0,0.014130794,0.42534128
S100A1^AGER,S100A1,AGER,0.2482628,0.30555,0.07693995,0.10663333333333333,0.006727824,0.0,0.01368173,0.42390782
HSPG2^ITGB1,HSPG2,ITGB1,0.07170774,0.09696666666666667,0.17783748,0.22815,0.0066760327,0.0,0.013417415,0.381426
PTDSS1^SCARB1,PTDSS1,SCARB1,0.08692589,0.12075,0.11624975,0.15298333333333333,0.006650149,0.0,0.013314745,0.37411132
