,count,mean,std,min,5%,25%,50%,75%,95%,max
total_counts,445751.0,1810.100341796875,1118.626220703125,0.0,187.0,904.0,1773.0,2544.0,3718.5,13475.0
n_genes_by_counts,445751.0,1259.652806163082,674.4211431749344,0.0,164.0,724.0,1296.0,1744.0,2336.0,5368.0
pct_counts_mt,445750.0,7.703385829925537,4.2752227783203125,0.0,3.752480983734131,5.712519645690918,6.976744651794434,8.561175346374512,13.170083045959473,100.0
