in_tissue,count,mean,std,min,50%,90%,99%,max
0,256493.0,77.33795166015625,202.65318298339844,0.0,13.0,200.0,1038.0,5827.0
1,445751.0,1838.818359375,1136.9078369140625,0.0,1802.0,3299.0,4850.0,13675.0
