gene,moran_log,moran_pearson
WFDC2,0.4528933697616845,0.4469917166175403
EPCAM,0.23986399710614284,
COL1A1,0.7018592264253407,0.6239362076059147
DCN,0.2732662141033703,0.27516235660263916
PTPRC,0.008652892938930162,
PECAM1,0.06339102108084094,0.06354273423390022
MKI67,0.05564418843575811,0.05285659543043394
