,X_pca_log,X_pca_pearson,X_scvi
X_pca_log,1.0,0.3976968974931848,0.4282119708480556
X_pca_pearson,0.3976968974931848,1.0,0.3169537575954268
X_scvi,0.4282119708480556,0.3169537575954268,1.0
