gene,moran_log,moran_pearson
WFDC2,0.49361035918543605,0.5058927328696993
EPCAM,0.2555465204291721,
COL1A1,0.6566704907674491,0.5597425287299229
DCN,0.3410163321038802,0.29208209600452684
PTPRC,0.008588301881133834,
PECAM1,0.08650936208100692,0.07721183634535236
MKI67,0.08295688905733795,0.09013998249986464
