axis,index,median_resid
row,0,-0.06176366423278479
row,1,0.14273101766679908
row,2,0.058970647401223264
row,3,-0.07995273039421535
row,4,0.14556264761411253
row,5,-0.05509572859678524
row,6,0.03567448506763515
row,7,0.159506732957587
row,8,0.08621169308340537
row,9,0.12081160027041804
row,10,0.22110474355251775
row,11,0.21602818137197755
row,12,0.09697315167202225
row,13,-0.04233984222492637
row,14,-0.02762416147234159
row,15,-0.017928396703664085
row,16,0.11688695311139696
row,17,0.04960599195465143
row,18,-0.03418605736563807
row,19,-0.04568083006786772
row,20,0.05407696360486769
row,21,-0.055523888982296654
row,22,0.038853998677200074
row,23,0.0938575116130771
row,24,0.11496175570929124
row,25,0.16463109979237212
row,26,0.07468265269257834
row,27,0.011095629107533256
row,28,-0.09201840604154166
row,29,0.11689276165440621
row,30,-0.12000104516488008
row,31,0.07043101544009822
row,32,0.07039486625546543
row,33,-0.13953195345271885
row,34,0.08349999900088534
row,35,-0.0058712912829772534
row,36,-0.0003588947808470522
row,37,0.11562118259971399
row,38,0.11084809113187077
row,39,-0.015155771331825107
row,40,0.07605464716259469
row,41,0.031244086118086045
row,42,-0.01665314327329437
row,43,0.13758570532907655
row,44,0.023571816880072483
row,45,0.2249828729425838
row,46,0.21961189829345162
row,47,0.04734494367097142
row,48,0.06715294094820834
row,49,-0.08086903901095344
row,50,0.027840107060118413
row,51,0.006750456775158842
row,52,-0.04520303864967312
row,53,0.027741662699679814
row,54,-0.1542301001421018
row,55,0.08934492223730128
row,56,0.0459233381053199
row,57,0.16643706947068138
row,58,0.13137563624403814
row,59,-0.06811747322563244
row,60,0.035047883374744515
row,61,-0.07328259625190059
row,62,0.16221093684232368
row,63,0.17824839522236458
row,64,0.06255144422279191
row,65,0.16302981215201306
row,66,0.08911554374821051
row,67,0.18380341762167207
row,68,0.14657276891278626
row,69,0.09439843363931644
row,70,-0.12084065081282747
row,71,-0.10546653476769396
row,72,-0.014759303943674862
row,73,-0.18178610105556148
row,74,-0.066508737225905
row,75,0.2013365308772852
row,76,0.07263245363784598
row,77,0.028811180300461814
row,78,0.15528685729413816
row,79,-0.12050956697036108
row,80,0.08373459528226768
row,81,0.07887984440293039
row,82,0.06471641191400845
row,83,0.06151168120110739
row,84,-0.017581721351169755
row,85,0.01804084286197849
row,86,-0.07740581027564453
row,87,0.016408906812463098
row,88,0.011273778559511172
row,89,0.04517387789390259
row,90,0.05252781306363863
row,91,0.11175623486698649
row,92,0.118537893675291
row,93,0.06044988226217285
row,94,0.004395386331271567
row,95,-0.08269756739803391
row,96,-0.08802392166812645
row,97,0.06172068053019997
row,98,-0.06671977838853316
row,99,0.21987317028927444
row,100,0.09957830034021953
row,101,0.18694637747821652
row,102,-0.0023078106059766235
row,103,0.16840423332151389
row,104,0.08211616449699877
row,105,0.1592656824593135
row,106,-0.10895411471024552
row,107,0.07294198252076356
row,108,-0.0994265359546187
row,109,0.12790635145581497
row,110,0.14138130809973815
row,111,0.09424753948030684
row,112,-0.0034182726947968867
row,113,0.08985671842865228
row,114,-0.019122275955241186
row,115,0.04324303162736953
row,116,-0.08003807928081663
row,117,0.1035498655584397
row,118,0.10368433255537735
row,119,0.12475374849686705
row,120,0.05014731940659711
row,121,0.07211930624365204
row,122,-0.051880898383497964
row,123,-0.020462625823201464
row,124,-0.11558352583376585
row,125,0.01646400721873542
row,126,-0.10356103336822642
row,127,0.0181263869249797
row,128,-0.03538366698262241
row,129,0.02268860137561468
row,130,-0.03138014072542905
row,131,0.025022620980857724
row,132,0.04481066442584147
row,133,0.058278221491777416
row,134,0.10533304337617899
row,135,0.08144533715953806
row,136,0.22229654251353814
row,137,0.26034298074578155
row,138,0.024383603848525226
row,139,0.2296402381736682
row,140,0.1079493720060225
row,141,-0.023625008876774878
row,142,0.07536982346400745
row,143,0.005792534393704862
row,144,-0.05701226708739249
row,145,0.10811820150280038
row,146,0.21392461230318638
row,147,-0.07379072253786134
row,148,0.14615755052302815
row,149,0.1110422561374711
row,150,0.06817416991620373
row,151,0.15830425348626953
row,152,0.1133797443323914
row,153,0.005392998161425133
row,154,-0.1324456687999156
row,155,0.01891860728162431
row,156,0.02736517118376991
row,157,-0.0779435709491687
row,158,0.017679595684065852
row,159,-0.11305757324447363
row,160,0.005223273049111743
row,161,0.24360154610000428
row,162,0.013033567597226181
row,163,0.13757759457979368
row,164,0.1799375043148923
row,165,-0.08266691862371367
row,166,0.04039666631318717
row,167,0.0028680081629262055
row,168,-0.036877449463209366
row,169,-0.0552473917341878
row,170,-0.19914647828187348
row,171,-0.10281414639951203
row,172,-0.17171732236271842
row,173,0.1723477025952853
row,174,0.16050852605056853
row,175,0.03768943592088103
row,176,0.017752601848284755
row,177,0.12752003785425803
row,178,0.11840255341202921
row,179,0.09053714889232456
row,180,0.1590753462785388
row,181,0.062285565593476644
row,182,0.18228975434316164
row,183,0.21843353953363476
row,184,0.16582411935695385
row,185,-0.11986152231575709
row,186,0.08696981075918231
row,187,-0.010911024642403788
row,188,-0.2704446263599021
row,189,-0.1688258939236018
row,190,0.046906205615409924
row,191,-0.01132445946575622
row,192,0.20511012313730248
row,193,0.06942523934606326
row,194,0.11019988271826975
row,195,0.025593460124864187
row,196,0.1882556797225412
row,197,0.05196445980432074
row,198,-0.031485336465453706
row,199,0.05044686444695712
row,200,-0.06142390545518017
row,201,-0.0220767971837188
row,202,-0.07512691934027504
row,203,-0.10733919690007498
row,204,0.14918204443134275
row,205,0.0834007322388528
row,206,0.10831247983737358
row,207,0.13370017456878536
row,208,0.08669918530911591
row,209,0.05392783562254433
row,210,0.10987039760651385
row,211,-0.01593949197587552
row,212,0.08137852397168555
row,213,0.15541815445638862
row,214,-0.0143165541394783
row,215,0.05529423954130186
row,216,0.05547582134022466
row,217,-0.12819665608097264
row,218,0.13552344008089223
row,219,-0.12398379548033134
row,220,0.17944648719663903
row,221,-0.01833954823704076
row,222,0.10543720658672662
row,223,0.019747334740467082
row,224,0.010866217949079271
row,225,0.23843841702629298
row,226,0.11216781800875841
row,227,0.022216861527617482
row,228,0.12702450204729931
row,229,0.01719556223615104
row,230,0.12578374403905945
row,231,0.010554211788748713
row,232,-0.05124345734037572
row,233,0.19405362590925002
row,234,0.0814707141369655
row,235,0.08818009841855412
row,236,0.07551701205178496
row,237,-0.08959896012702417
row,238,-0.06646104013442944
row,239,0.20532074453706883
row,240,0.1451098853127304
row,241,0.07915632425365215
row,242,0.15447636052107505
row,243,0.017276098099480386
row,244,0.41390373505427824
row,245,0.03242982227282809
row,246,-0.07470802061057569
row,247,0.01078223161736691
row,248,-0.0888088591608156
row,249,0.17378591006280697
row,250,0.2093373173580435
row,251,0.011243123212894002
row,252,0.35577897189712715
row,253,-0.21722731565993758
row,254,-0.1590369242739773
row,255,-0.006926647111309858
row,256,0.08306818440042285
row,257,-0.04569418657728086
row,258,-0.02492663943532758
row,259,0.24138909909680084
row,260,0.1843857203954613
row,261,0.13550324747968956
row,262,0.20890549265579983
row,263,0.014938699421002788
row,264,-0.0594886478743355
row,265,0.13389239610317638
row,266,-0.13150168968320397
row,267,-0.006590722622376255
row,268,0.02332987377964013
row,269,0.11919302592619996
row,270,-0.07041483392865988
row,271,0.30883760653639225
row,272,0.010966360785245932
row,273,0.07690181229127635
row,274,0.06613717937396846
row,275,0.13035361095867604
row,276,0.06350966115846024
row,277,-0.0008208293773179776
row,278,0.07347333313541515
row,279,0.004688315273786436
row,280,-0.022703236794451964
row,281,0.0176366581656624
row,282,0.06475678309788124
row,283,-0.041937635835145315
row,284,0.1605136736295516
row,285,0.15175517521606796
row,286,0.05437495957971272
row,287,-0.12090112458488944
row,288,0.09546824736737713
row,289,0.0420791744294684
