,median,median,count,count
near_capture_edge,edge<200um,interior,edge<200um,interior
dist_bin,,,,
"(0, 16]",108.0,329.5,1328,22808
"(16, 32]",35.0,133.0,1777,19005
"(32, 64]",18.0,49.0,4327,26103
"(64, 128]",13.0,17.0,10192,30874
"(128, 300]",8.0,11.0,24593,45515
"(300, 1000]",4.0,7.0,26165,39991
"(1000, 5000]",3.0,4.0,3155,660
