label,n_units,dp:epithelial+immune,dp:epithelial+fibroblast,dp:epithelial+endothelial,dp:immune+fibroblast,dp:immune+endothelial,dp:fibroblast+endothelial,contam_in_epithelial:fibroblast,contam_in_epithelial:immune,contam_in_epithelial:endothelial,contam_in_fibroblast:epithelial,n_epithelial_dominant,n_fibroblast_dominant
8um bins,421773,0.03789324508217182,0.09159431994077663,0.07737647193906842,0.05258473572904163,0.05213161174776432,0.1980735265954051,0.16398592,0.0039300947,0.008341458,0.1987232,352504,68589
SR cells,180408,0.058844592981618524,0.09944542629045036,0.11306372272915023,0.0958423040271062,0.10031841372073669,0.2591113754141534,0.16041057,0.0035851488,0.0077457977,0.19391409,154621,25524
SR small third,58807,0.03197399527186761,0.1517395392571697,0.07709901839321452,0.04840840840840841,0.048682140047206925,0.15987476904126463,0.1522988,0.0028733062,0.0067271506,0.17620629,53667,5067
SR large third,59908,0.08376554826272548,0.044712611607142856,0.09209902650672695,0.11640661938534279,0.11958841101996301,0.33474444097856604,0.16777438,0.004539487,0.009072507,0.20484863,47173,12615
