label,n_cells,n_epithelial,n_fibroblast,fib_in_epi,epi_in_fib,imm_in_epi
Space Ranger,180408,154621,25524,0.16041057,0.19391409,0.0035851488
bin2cell (expand 2),188804,164039,24337,0.15347801316049559,0.17817529627779502,0.0032476536924636082
