,SR_umi,b2c_umi,SR_area,b2c_area,SR_nuc_area,b2c_nuc_area
count,183450.0,191343.0,183450.0,191343.0,183450.0,194386.0
mean,3815.853271484375,3833.4626354110505,125.92196865904931,93.28949582686589,31.379818238943855,46.71357762390296
std,2701.7177734375,2742.6560442321606,74.07320183090309,52.72352949524507,20.573567555647674,32.739313162979315
min,2.0,3.5529355391972106,3.997980674848799,4.0,3.9979806748482876,3.5
5%,508.0,564.5927162784425,35.998328057667116,24.0,8.000461890794941,12.5
50%,3277.0,3273.6983895393214,111.99446502821256,84.0,27.94010922278813,38.5
95%,8949.549999999988,9050.798889916852,268.14865185362544,192.0,71.99290566441933,110.5
max,37912.0,45258.83869063628,796.4326296234499,760.0,360.3350728724361,688.5
