label,n_units,mean_purity,median_purity,epithelial+immune,epithelial+fibroblast,epithelial+endothelial,immune+fibroblast,immune+endothelial,fibroblast+endothelial
8um bins,421773,0.82631195,0.8571428656578064,0.0002101661909107113,0.17222719845660175,0.0013373631126595746,0.0002779790920011516,0.0005701254275940707,0.012840470784210682
SR cells,180408,0.82928795,0.8588235378265381,7.893091116629529e-05,0.14598386610802544,0.0005333301010296907,0.00021652051531882645,0.0,0.009109585338162945
SR cells: small third,58807,0.84299874,0.8662601709365845,7.422114189226802e-05,0.09827357237715803,0.000555812876331635,0.00036814333046999634,0.0,0.010892179659772365
SR cells: large third,59908,0.8149839,0.8529412150382996,0.00011138131392823331,0.20375280440546603,0.00046304013631901615,0.00023539104337079973,0.0,0.008176951585387376
