,cells_umi,cells_genes,cell_area_um2,nucleus_area_um2
count,183450.0,183450.0,183450.0,183450.0
mean,3815.853271484375,2203.493627691469,125.92196865904931,31.379818238943855
std,2701.7177734375,1158.2421096102669,74.07320183090309,20.573567555647674
min,2.0,2.0,3.997980674848799,3.9979806748482876
5%,508.0,416.0,35.998328057667116,8.000461890794941
50%,3277.0,2129.0,111.99446502821256,27.94010922278813
95%,8949.549999999988,4232.0,268.14865185362544,71.99290566441933
max,37912.0,8330.0,796.4326296234499,360.3350728724361
