,0,1,2,3,4,5,6,7,8,9,10
0,10.30974006652832,10.346590042114258,10.363526344299316,10.362525939941406,10.35190486907959,10.346272468566895,10.344528198242188,10.343022346496582,10.334527015686035,10.318306922912598,10.282930374145508
1,10.330314636230469,10.351344108581543,10.349997520446777,10.323873519897461,10.284881591796875,10.265714645385742,10.273754119873047,10.302145004272461,10.324068069458008,10.327642440795898,10.303792953491211
2,10.332493782043457,10.33527660369873,10.294868469238281,10.206683158874512,10.100985527038574,10.050237655639648,10.084057807922363,10.178937911987305,10.267179489135742,10.31216049194336,10.309775352478027
3,10.330113410949707,10.298608779907227,10.194190979003906,9.9978666305542,9.769654273986816,9.654129981994629,9.739988327026367,9.958404541015625,10.164970397949219,10.283785820007324,10.309565544128418
4,10.313883781433105,10.250798225402832,10.069077491760254,9.740966796875,9.350711822509766,9.151209831237793,9.311615943908691,9.697327613830566,10.045587539672852,10.242923736572266,10.306031227111816
5,10.301316261291504,10.220048904418945,9.997090339660645,9.59289836883545,9.109318733215332,8.856815338134766,9.06899642944336,9.557398796081543,9.985179901123047,10.222968101501465,10.30361557006836
6,10.292399406433105,10.221732139587402,10.02664852142334,9.669822692871094,9.242697715759277,9.025486946105957,9.21547794342041,9.647485733032227,10.024724960327148,10.234530448913574,10.303279876708984
7,10.282519340515137,10.245667457580566,10.119467735290527,9.888579368591309,9.614368438720703,9.47823429107666,9.603829383850098,9.883296966552734,10.12857723236084,10.26557445526123,10.305723190307617
8,10.270386695861816,10.26546573638916,10.207691192626953,10.090631484985352,9.954033851623535,9.890068054199219,9.95761489868164,10.101349830627441,10.224133491516113,10.286182403564453,10.29414176940918
9,10.247879981994629,10.262269020080566,10.251139640808105,10.20800495147705,10.151819229125977,10.133928298950195,10.162830352783203,10.220654487609863,10.265231132507324,10.282045364379883,10.270441055297852
10,10.219460487365723,10.244146347045898,10.254565238952637,10.251520156860352,10.233535766601562,10.232437133789062,10.24477767944336,10.26213550567627,10.2671537399292,10.261610984802246,10.238408088684082
